file,ply,side,san,raw,dcc,stability,adsr,trend,momentum,tunnel,dcc1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,75,w,Re3,212,216,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,76,b,g4,-212,-208,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,77,w,fxg4,212,226,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,78,b,Qxg4,-212,-198,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,79,w,c5,212,216,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,80,b,bxc5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,81,w,bxc5,221,225,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,82,b,Qe6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,83,w,Qd3,225,239,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,84,b,Qg6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,85,w,Ka2,264,268,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,86,b,Rd8,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,87,w,Qc4+,284,288,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,88,b,Qf7,-284,-280,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,89,w,Qxf7+,284,298,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,90,b,Kxf7,-284,-270,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,91,w,b4,284,287,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,92,b,Rh8,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,93,w,Kb3,308,321,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,94,b,Rxh2,-308,-294,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,95,w,Kc4,308,311,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,96,b,g5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,97,w,Kd5,358,361,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,98,b,Rb2,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,99,w,Nd6+,470,473,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,100,b,Bxd6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,101,w,cxd6,521,535,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,102,b,g4,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,103,w,d7,538,541,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,104,b,g3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,105,w,Kc6,24994,24998,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,106,b,Rc2+,-24995,-24992,0,sustained,→,-1,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,107,w,Kb7,24996,25010,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,108,b,g2,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,109,w,d8=Q,29981,29984,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,110,b,g1=Q,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,111,w,Re7+,29991,30001,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,112,b,Kg6,-29992,-29983,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,113,w,Qg8+,29993,29996,0,sustained,→,0,0,1
